passenger1,passenger2,flightsTogether
1677,1635,10
1666,1464,10
1662,391,10
1378,1041,10
1371,928,10
1337,975,10
1337,928,10
1095,760,10
1095,701,10
763,751,10
760,716,10
760,751,10
752,739,10
752,374,10
751,701,10
739,733,10
739,374,10
670,624,10
368,362,10
275,274,10
13781,13731,9
13668,13657,9
13296,13249,9
13221,9540,9
13221,10067,9
12323,2588,9
12323,10067,9
12323,9540,9
11808,10731,9
11296,11276,9
11276,3361,9
11276,6777,9
11275,3677,9
11275,9063,9
11225,4827,9
11198,8664,9
11180,11175,9
10798,7209,9
10785,10716,9
10764,10702,9
10764,10719,9
10719,4451,9
10702,4451,9
10541,855,9
10446,10440,9
10396,10313,9
10350,8290,9
10334,10322,9
10234,10203,9
10083,6548,9
10067,9540,9
10067,7721,9
10023,2479,9
10022,4917,9
9828,1678,9
9828,2097,9
9752,2097,9
9752,1678,9
9696,9649,9
9659,7679,9
9522,3090,9
9355,8529,9
9282,855,9
9282,167,9
9282,3589,9
9271,3078,9
9252,4827,9
9069,2068,9
9066,7898,9
9066,9014,9
9049,4165,9
8979,5198,9
8961,8326,9
8961,211,9
8810,2964,9
8732,7327,9
8684,1747,9
8679,479,9
8596,6113,9
8596,8562,9
8596,7747,9
8596,479,9
8590,5867,9
8590,7643,9
8519,6180,9
8461,1613,9
8411,6447,9
8411,6100,9
8411,1677,9
8363,2973,9
8353,7685,9
8299,258,9
8289,7685,9
8289,3735,9
8262,6560,9
8262,4774,9
8260,6560,9
8260,4774,9
8234,8225,9
8190,7605,9
8190,1677,9
8158,4249,9
8158,7662,9
8158,2857,9
8121,4178,9
8089,8007,9
8084,4147,9
8078,4389,9
8068,8037,9
8045,5867,9
8036,8006,9
8007,7243,9
7872,7820,9
7872,3590,9
7872,3503,9
7866,3590,9
7866,3503,9
7866,7820,9
7810,3802,9
7799,7768,9
7747,3021,9
7685,7605,9
7677,5530,9
7662,7605,9
7636,4404,9
7605,5482,9
7605,6813,9
7605,3590,9
7560,1822,9
7505,3356,9
7220,2926,9
7209,4034,9
7209,5522,9
7209,4820,9
7209,1715,9
7162,167,9
7039,5423,9
6878,2773,9
6823,6807,9
6813,2857,9
6813,5423,9
6813,3093,9
6707,2926,9
6707,2857,9
6447,3418,9
6208,4171,9
6113,479,9
6113,2201,9
6089,4552,9
6084,211,9
6064,6017,9
6020,4700,9
6020,5490,9
6020,2939,9
6017,5481,9
6003,1078,9
5989,2886,9
5978,5912,9
5869,1733,9
5865,5808,9
5798,5706,9
5798,5771,9
5798,5720,9
5795,5787,9
5789,3590,9
5789,3093,9
5788,5706,9
5788,5761,9
5771,5744,9
5771,5734,9
5769,5744,9
5761,5706,9
5744,5720,9
5744,5706,9
5743,5731,9
5731,5716,9
5720,5706,9
5522,4820,9
5522,1715,9
5509,4468,9
5500,2759,9
5500,2717,9
5500,4316,9
5494,4316,9
5494,2759,9
5494,2717,9
5491,2717,9
5490,5456,9
5490,2886,9
5486,5478,9
5486,5464,9
5482,1677,9
5481,2717,9
5467,5420,9
5467,3937,9
5459,1464,9
5448,5431,9
5443,2717,9
5440,2717,9
5440,4316,9
5440,2759,9
5434,4523,9
5426,5414,9
5426,4009,9
5401,2789,9
5016,4364,9
4990,4969,9
4990,4942,9
4988,4903,9
4969,4942,9
4969,4674,9
4917,4675,9
4881,4841,9
4852,2529,9
4820,1715,9
4761,1158,9
4674,1884,9
4674,3576,9
4674,1865,9
4674,2773,9
4656,2509,9
4609,2509,9
4607,1865,9
4607,2773,9
4550,3292,9
4522,3858,9
4496,4467,9
4478,3529,9
4399,4009,9
4399,4316,9
4399,4339,9
4399,4042,9
4395,4316,9
4395,4042,9
4395,4339,9
4388,2959,9
4388,4316,9
4388,4042,9
4384,756,9
4373,2717,9
4364,4339,9
4363,4056,9
4344,2988,9
4339,4083,9
4339,4012,9
4316,4042,9
4200,1413,9
4083,4066,9
4083,4011,9
4083,4044,9
4083,4080,9
4082,1651,9
4080,4044,9
4080,4011,9
4080,4009,9
4080,4066,9
4066,4009,9
4066,4044,9
4066,4012,9
4066,4011,9
4059,4013,9
4053,928,9
4053,2511,9
4053,4042,9
4044,4009,9
4044,1666,9
4044,4012,9
4042,2969,9
4042,4025,9
4025,2511,9
4025,928,9
4016,2941,9
4016,4013,9
4012,4011,9
4011,4009,9
4011,1666,9
3963,3527,9
3937,3527,9
3937,3920,9
3924,3913,9
3889,139,9
3802,2068,9
3637,3609,9
3590,3278,9
3590,1208,9
3590,2857,9
3576,2294,9
3561,3548,9
3544,2294,9
3503,3418,9
3477,3421,9
3472,2401,9
3418,1677,9
3414,368,9
3361,1966,9
3278,1677,9
3278,2482,9
3188,247,9
3093,2857,9
3078,3021,9
3028,3002,9
2988,2911,9
2969,928,9
2969,1371,9
2969,407,9
2969,975,9
2969,1337,9
2959,1337,9
2959,407,9
2959,975,9
2959,1371,9
2959,928,9
2939,975,9
2939,407,9
2939,1371,9
2939,2867,9
2939,928,9
2906,2776,9
2906,2857,9
2905,1332,9
2886,1208,9
2867,1371,9
2867,928,9
2867,407,9
2867,2759,9
2867,975,9
2867,2717,9
2857,1677,9
2857,901,9
2789,1696,9
2789,1464,9
2789,1666,9
2783,2776,9
2776,901,9
2759,2511,9
2759,407,9
2759,1484,9
2734,950,9
2717,1484,9
2717,407,9
2717,2511,9
2576,248,9
2560,443,9
2556,2501,9
2511,1371,9
2511,975,9
2511,1337,9
2501,1272,9
2488,419,9
2486,2440,9
2437,920,9
2345,61,9
2271,2225,9
2231,1715,9
2174,2117,9
2117,241,9
2097,288,9
2075,2062,9
2062,53,9
1984,1976,9
1831,1246,9
1817,184,9
1678,288,9
1677,1646,9
1677,1208,9
1677,625,9
1651,1046,9
1646,441,9
1616,1034,9
1484,975,9
1484,407,9
1484,1371,9
1484,928,9
1377,1351,9
1351,979,9
1287,1228,9
1095,1053,9
1095,1001,9
1095,1023,9
1095,763,9
1064,1041,9
1053,1001,9
1053,716,9
1053,1023,9
1053,724,9
1038,1007,9
1026,1025,9
1023,368,9
1023,746,9
1023,364,9
1001,772,9
1001,364,9
1001,746,9
1001,368,9
997,959,9
997,950,9
959,950,9
930,915,9
928,407,9
855,167,9
833,813,9
831,802,9
795,763,9
793,707,9
774,731,9
773,750,9
772,760,9
772,701,9
772,716,9
772,763,9
772,740,9
772,724,9
772,751,9
763,716,9
763,740,9
763,724,9
763,746,9
761,716,9
760,740,9
760,746,9
760,752,9
760,724,9
755,740,9
752,727,9
751,740,9
751,746,9
751,724,9
751,716,9
746,716,9
746,740,9
746,701,9
746,724,9
740,716,9
740,701,9
740,724,9
733,374,9
733,366,9
724,701,9
716,701,9
649,603,9
468,394,9
385,309,9
368,364,9
313,308,9
292,286,9
275,248,9
271,230,9
271,264,9
264,230,9
255,205,9
14060,14018,8
13819,1947,8
13781,11450,8
13731,5380,8
13731,11450,8
13605,10909,8
13564,10067,8
13564,7721,8
13564,13221,8
13564,12323,8
13564,356,8
13564,9540,8
13296,7661,8
13296,5111,8
13249,5111,8
13249,7661,8
13221,7721,8
13221,356,8
13163,10244,8
12594,12516,8
12567,12530,8
12389,9653,8
12323,5101,8
12323,11211,8
12323,7721,8
12323,356,8
12298,10446,8
12210,10212,8
11939,8040,8
11917,1464,8
11917,9441,8
11910,11909,8
11871,4070,8
11853,11808,8
11808,932,8
11767,7319,8
11730,11729,8
11687,11649,8
11633,11450,8
11610,10596,8
11537,11514,8
11508,9738,8
11296,6777,8
11290,8961,8
11280,6208,8
11280,5748,8
11280,9127,8
11276,75,8
11276,1966,8
11275,5459,8
11225,4917,8
11225,9493,8
11225,10022,8
11211,2588,8
11192,4391,8
11176,11137,8
11143,11101,8
11074,10937,8
11046,10937,8
11007,5016,8
10989,4854,8
10975,9063,8
10975,1464,8
10975,2185,8
10937,2378,8
10900,10806,8
10899,10576,8
10899,10541,8
10899,167,8
10899,9282,8
10899,10833,8
10819,7162,8
10802,8212,8
10799,10756,8
10798,10760,8
10798,10762,8
10785,10702,8
10785,10719,8
10785,10778,8
10785,10767,8
10785,10764,8
10785,10714,8
10780,10720,8
10780,10741,8
10778,10719,8
10778,10714,8
10778,10702,8
10778,10764,8
10778,10767,8
10778,10716,8
10767,10714,8
10767,5096,8
10767,10719,8
10767,10762,8
10767,10764,8
10767,4070,8
10767,10702,8
10764,10714,8
10764,10716,8
10764,4451,8
10762,7209,8
10757,517,8
10741,10720,8
10719,10716,8
10719,10714,8
10716,10714,8
10716,10702,8
10714,10702,8
10661,8363,8
10652,10631,8
10644,10616,8
10616,10541,8
10616,10576,8
10576,855,8
10548,10439,8
10512,993,8
10509,9833,8
10494,10481,8
10478,4483,8
10439,10407,8
10439,10430,8
10430,10407,8
10398,613,8
10394,6548,8
10394,10373,8
10389,2960,8
10389,4850,8
10384,10356,8
10377,10325,8
10373,10352,8
10373,4249,8
10368,211,8
10352,10334,8
10349,6707,8
10346,1677,8
10334,2857,8
10325,7505,8
10325,8158,8
10325,7243,8
10313,7220,8
10313,2926,8
10310,5093,8
10310,8353,8
10308,798,8
10229,919,8
10196,6535,8
10179,9906,8
10145,2441,8
10110,9822,8
10095,10022,8
10095,10089,8
10089,10022,8
10083,10017,8
10083,10037,8
10067,356,8
10046,9363,8
10037,10016,8
10037,10017,8
10022,4816,8
10022,4827,8
10017,1138,8
10017,10016,8
10016,6548,8
9997,4359,8
9994,7661,8
9992,9954,8
9988,9954,8
9988,9906,8
9985,9904,8
9862,9600,8
9862,6591,8
9828,6783,8
9828,1343,8
9828,1246,8
9777,8006,8
9766,7162,8
9755,9704,8
9752,6783,8
9752,1343,8
9721,6743,8
9704,7506,8
9700,4034,8
9700,9699,8
9699,5330,8
9688,3968,8
9684,9664,8
9679,9610,8
9620,9619,8
9619,4449,8
9586,2719,8
9540,356,8
9540,7721,8
9540,4541,8
9539,5081,8
9522,8584,8
9522,8596,8
9522,479,8
9522,8562,8
9522,8679,8
9522,1475,8
9441,8595,8
9441,4514,8
9441,2185,8
9441,92,8
9441,1464,8
9421,4737,8
9410,5668,8
9395,9369,8
9395,9385,8
9385,9369,8
9376,4170,8
9369,9321,8
9363,8078,8
9363,9340,8
9353,9330,8
9127,9118,8
9101,8556,8
9101,6733,8
9101,5201,8
9098,92,8
9098,2068,8
9098,7810,8
9098,6805,8
9097,9026,8
9069,3356,8
9069,3802,8
9069,7505,8
9069,3153,8
9068,2544,8
9066,4034,8
9066,7209,8
9063,3677,8
9063,1464,8
9063,5459,8
8995,8969,8
8995,8965,8
8983,8979,8
8961,1677,8
8961,8363,8
8810,6591,8
8735,5207,8
8684,8128,8
8679,3021,8
8679,8562,8
8679,7747,8
8679,4170,8
8598,8589,8
8596,8584,8
8596,3021,8
8596,4170,8
8595,2185,8
8595,4514,8
8590,8045,8
8584,3090,8
8584,479,8
8584,3021,8
8579,1562,8
8579,7801,8
8562,3090,8
8562,2201,8
8562,6113,8
8562,3021,8
8539,3309,8
8519,258,8
8461,5668,8
8446,5201,8
8445,1343,8
8424,8194,8
8411,8403,8
8368,4827,8
8363,211,8
8363,2482,8
8363,7860,8
8363,6084,8
8353,5093,8
8353,8289,8
8350,8270,8
8307,7379,8
8297,7318,8
8289,8209,8
8269,8256,8
8209,7082,8
8190,6813,8
8190,5789,8
8190,7662,8
8190,1208,8
8190,1635,8
8190,3590,8
8190,7618,8
8158,7505,8
8158,3590,8
8158,5668,8
8158,6813,8
8158,2926,8
8158,7039,8
8158,1677,8
8158,7243,8
8149,8010,8
8146,5564,8
8120,3021,8
8093,8068,8
8093,8037,8
8068,6447,8
8057,2548,8
8048,4552,8
8037,6447,8
8025,139,8
8010,942,8
8006,2544,8
7914,2926,8
7898,1849,8
7898,392,8
7898,4034,8
7898,7209,8
7872,6813,8
7872,7662,8
7872,1208,8
7872,5789,8
7872,7868,8
7868,1677,8
7868,7820,8
7868,7866,8
7866,6813,8
7866,1208,8
7866,5789,8
7860,2973,8
7822,7713,8
7820,3503,8
7820,3590,8
7810,7505,8
7810,3153,8
7810,3279,8
7810,3356,8
7809,7706,8
7799,2960,8
7780,7727,8
7778,7741,8
7747,2201,8
7747,1475,8
7747,6113,8
7747,3090,8
7747,4170,8
7747,479,8
7733,4184,8
7727,4335,8
7724,7509,8
7721,356,8
7685,1646,8
7662,1677,8
7662,3278,8
7662,7039,8
7662,1635,8
7662,6750,8
7662,5482,8
7662,5423,8
7661,5111,8
7661,6293,8
7612,5564,8
7605,1635,8
7605,1646,8
7605,5789,8
7605,3735,8
7605,3418,8
7605,2857,8
7605,4249,8
7605,1208,8
7579,2117,8
7579,241,8
7560,1715,8
7520,4275,8
7508,4384,8
7508,756,8
7505,7243,8
7505,3153,8
7477,7463,8
7379,5867,8
7291,7253,8
7240,7229,8
7209,6729,8
7209,1849,8
7209,191,8
7209,2231,8
7209,392,8
7194,2548,8
7194,7114,8
7191,5116,8
7162,2504,8
7099,5212,8
7098,2174,8
7082,7039,8
7076,5696,8
7076,3432,8
7007,3298,8
6904,2575,8
6897,6870,8
6897,6855,8
6896,6827,8
6896,5966,8
6892,6857,8
6870,6855,8
6857,1769,8
6857,6067,8
6854,4674,8
6854,6853,8
6854,4373,8
6832,6824,8
6813,5482,8
6813,3278,8
6813,6447,8
6813,6707,8
6809,4969,8
6805,5546,8
6805,3286,8
6777,75,8
6777,3361,8
6773,5590,8
6769,6730,8
6752,5592,8
6733,5634,8
6729,191,8
6729,1715,8
6729,2231,8
6729,4820,8
6729,5522,8
6720,1994,8
6707,4249,8
6707,3418,8
6707,3590,8
6591,2964,8
6584,5612,8
6560,2354,8
6535,6323,8
6523,5869,8
6519,363,8
6507,5332,8
6507,5869,8
6474,6453,8
6447,6052,8
6447,6100,8
6447,3590,8
6317,4713,8
6294,5590,8
6208,4827,8
6208,1673,8
6208,5748,8
6166,4774,8
6113,4170,8
6111,5116,8
6096,6077,8
6089,6043,8
6084,1677,8
6084,953,8
6071,6069,8
6070,6012,8
6069,2773,8
6067,4957,8
6067,6061,8
6064,6001,8
6064,2294,8
6064,5491,8
6064,4969,8
6064,5481,8
6064,6039,8
6064,6063,8
6064,4316,8
6063,6017,8
6063,6039,8
6053,3275,8
6039,6017,8
6030,3924,8
6030,486,8
6027,6004,8
6017,5491,8
6017,2294,8
6017,4969,8
6017,4316,8
6013,5055,8
6001,2717,8
5997,5912,8
5993,5964,8
5989,5787,8
5978,2645,8
5978,5946,8
5977,5954,8
5966,5953,8
5966,5954,8
5959,4209,8
5954,5720,8
5946,5922,8
5934,5927,8
5922,2717,8
5912,2780,8
5912,5800,8
5911,2886,8
5869,5332,8
5819,5668,8
5798,5788,8
5798,5734,8
5798,5724,8
5798,5769,8
5798,5761,8
5795,5766,8
5792,5775,8
5789,1677,8
5789,5482,8
5789,3503,8
5789,5737,8
5788,5724,8
5788,5720,8
5788,5769,8
5788,5744,8
5787,5766,8
5771,5706,8
5771,5720,8
5769,5724,8
5769,950,8
5769,5706,8
5769,5761,8
5769,5720,8
5761,5724,8
5761,5744,8
5761,5720,8
5755,5711,8
5744,5724,8
5744,5734,8
5742,5740,8
5737,281,8
5734,5720,8
5734,5706,8
5724,5720,8
5724,5706,8
5711,2790,8
5668,1613,8
5668,2857,8
5668,4552,8
5596,5590,8
5575,870,8
5546,4441,8
5544,4441,8
5522,191,8
5522,5503,8
5503,1715,8
5491,4373,8
5491,4969,8
5491,2294,8
5490,4399,8
5490,5423,8
5484,5468,8
5482,3590,8
5482,1635,8
5482,1208,8
5481,2294,8
5481,4373,8
5481,4969,8
5467,3920,8
5467,5435,8
5459,1164,8
5456,4399,8
5456,2939,8
5456,5414,8
5456,4395,8
5443,4373,8
5435,5412,8
5434,5422,8
5431,5404,8
5426,4339,8
5423,1677,8
5423,3590,8
5423,2926,8
5423,3093,8
5423,1371,8
5416,4235,8
5414,4009,8
5411,2776,8
5411,2857,8
5383,5359,8
5370,5310,8
5332,1733,8
5101,2588,8
5096,1982,8
5046,4016,8
5021,1240,8
5009,4903,8
4990,1865,8
4990,4607,8
4990,1884,8
4990,2773,8
4990,4674,8
4969,3544,8
4969,4607,8
4969,4316,8
4969,1884,8
4969,3576,8
4969,2773,8
4969,1865,8
4945,4554,8
4942,2773,8
4942,1884,8
4942,4607,8
4942,4674,8
4942,1865,8
4933,1498,8
4917,4827,8
4917,4816,8
4852,429,8
4827,628,8
4827,4816,8
4820,2231,8
4820,191,8
4774,2841,8
4774,2354,8
4744,1320,8
4707,2185,8
4700,4614,8
4682,4614,8
4674,4373,8
4674,2294,8
4674,3544,8
4674,2759,8
4665,4611,8
4656,4646,8
4656,4632,8
4650,3029,8
4650,2701,8
4646,4609,8
4641,4632,8
4632,2544,8
4632,3367,8
4584,2532,8
4584,3851,8
4556,822,8
4546,3867,8
4514,2185,8
4487,4432,8
4468,2776,8
4451,1822,8
4451,392,8
4441,4283,8
4400,4319,8
4399,2511,8
4399,2959,8
4399,2969,8
4399,4053,8
4399,4025,8
4399,975,8
4399,407,8
4398,4359,8
4395,4009,8
4395,407,8
4395,2959,8
4395,4025,8
4395,2969,8
4395,4053,8
4388,4025,8
4388,2939,8
4388,4053,8
4388,407,8
4388,2969,8
4388,4309,8
4376,4032,8
4373,4353,8
4373,4309,8
4364,4080,8
4364,4336,8
4364,4011,8
4364,4012,8
4364,4083,8
4364,4009,8
4364,4066,8
4364,4044,8
4353,4309,8
4346,1444,8
4346,4069,8
4339,4044,8
4339,4066,8
4339,4316,8
4339,4080,8
4339,4011,8
4339,2941,8
4316,2294,8
4316,4053,8
4316,4025,8
4285,1651,8
4253,4226,8
4249,2926,8
4249,3503,8
4249,2857,8
4248,4217,8
4226,2262,8
4212,4205,8
4202,2336,8
4200,2277,8
4170,479,8
4170,2201,8
4152,4097,8
4142,2723,8
4092,1342,8
4092,816,8
4083,2941,8
4080,4042,8
4080,4016,8
4080,4059,8
4080,2789,8
4080,4013,8
4076,1982,8
4059,4012,8
4059,4042,8
4059,4017,8
4059,2941,8
4059,4052,8
4053,1371,8
4053,975,8
4053,2867,8
4053,1484,8
4053,1337,8
4052,4016,8
4052,4017,8
4052,4013,8
4052,4042,8
4046,4010,8
4044,1464,8
4044,1696,8
4042,2959,8
4042,4013,8
4042,2939,8
4042,4016,8
4042,1484,8
4042,407,8
4042,4012,8
4034,1849,8
4034,392,8
4025,2867,8
4025,1337,8
4025,1371,8
4025,975,8
4025,1484,8
4017,4016,8
4017,4013,8
4016,4012,8
4016,4009,8
4013,4012,8
4012,2941,8
4011,1696,8
4011,1464,8
4009,2941,8
3994,3971,8
3991,1617,8
3980,3941,8
3967,1063,8
3963,3920,8
3963,1747,8
3963,3937,8
3940,1598,8
3937,1548,8
3837,3078,8
3802,1917,8
3752,811,8
3735,3330,8
3735,1646,8
3698,3679,8
3677,1246,8
3637,3615,8
3635,2458,8
3615,165,8
3615,3609,8
3590,1635,8
3590,3093,8
3589,2212,8
3576,2759,8
3554,141,8
3513,2258,8
3509,2279,8
3503,1208,8
3503,1677,8
3502,2284,8
3490,3405,8
3472,3442,8
3440,1095,8
3432,3275,8
3421,3188,8
3421,1053,8
3421,247,8
3418,2926,8
3418,2857,8
3414,3413,8
3405,3172,8
3399,3309,8
3356,3153,8
3356,3286,8
3343,3332,8
3332,3309,8
3330,95,8
3330,1677,8
3286,2482,8
3278,2926,8
3193,281,8
3180,275,8
3180,274,8
3173,2550,8
3172,3154,8
3147,1146,8
3123,610,8
3120,2734,8
3102,1012,8
3093,2926,8
3093,2886,8
3090,3078,8
3078,2065,8
3064,3028,8
3064,3002,8
3021,479,8
3012,1701,8
2993,997,8
2993,950,8
2993,959,8
2993,2734,8
2992,905,8
2988,2972,8
2975,1624,8
2973,2482,8
2972,2911,8
2969,2867,8
2969,2717,8
2969,1484,8
2969,2511,8
2969,2941,8
2969,2759,8
2959,2867,8
2959,2941,8
2959,1484,8
2959,2759,8
2959,2717,8
2959,2511,8
2957,1429,8
2945,2024,8
2941,1464,8
2941,1696,8
2941,1666,8
2941,2789,8
2941,2939,8
2941,915,8
2939,2906,8
2939,2759,8
2939,1484,8
2939,2886,8
2939,2511,8
2939,2717,8
2937,167,8
2932,1330,8
2927,2922,8
2926,1677,8
2911,794,8
2911,2905,8
2910,2901,8
2906,625,8
2905,1766,8
2867,1696,8
2857,1432,8
2857,1074,8
2797,2323,8
2789,2759,8
2789,2717,8
2789,2783,8
2789,407,8
2783,2717,8
2783,2759,8
2783,1482,8
2780,2760,8
2776,1432,8
2760,1616,8
2759,1337,8
2759,928,8
2759,1371,8
2759,975,8
2734,477,8
2728,1498,8
2719,1005,8
2717,1337,8
2717,1371,8
2717,928,8
2717,975,8
2699,2674,8
2699,2655,8
2699,2667,8
2674,2655,8
2674,2667,8
2667,2655,8
2645,1012,8
2645,2620,8
2600,2573,8
2600,2531,8
2596,2544,8
2588,2548,8
2573,2531,8
2560,1692,8
2556,1272,8
2545,2522,8
2544,1643,8
2511,1666,8
2500,2425,8
2498,126,8
2489,2411,8
2488,2269,8
2443,2412,8
2354,2345,8
2336,1849,8
2326,95,8
2295,2236,8
2288,2260,8
2284,2223,8
2279,2273,8
2278,2244,8
2269,419,8
2263,2221,8
2263,2222,8
2262,2247,8
2231,191,8
2222,2221,8
2204,276,8
2201,479,8
2197,2175,8
2190,2134,8
2185,2169,8
2185,942,8
2182,2137,8
2182,2111,8
2182,2131,8
2137,2131,8
2137,2111,8
2131,2111,8
2106,2105,8
2097,1343,8
2065,479,8
2035,1452,8
1994,1963,8
1984,1971,8
1976,1971,8
1917,92,8
1858,1607,8
1853,1828,8
1850,311,8
1822,382,8
1818,1482,8
1782,1631,8
1715,191,8
1692,443,8
1678,1343,8
1678,1562,8
1677,95,8
1677,211,8
1677,441,8
1666,407,8
1646,1635,8
1646,625,8
1637,392,8
1635,441,8
1635,625,8
1619,438,8
1616,1608,8
1608,1365,8
1598,1503,8
1561,1542,8
1484,1482,8
1484,1464,8
1482,930,8
1482,1464,8
1451,1403,8
1437,1020,8
1377,979,8
1371,1369,8
1371,1314,8
1371,407,8
1369,975,8
1337,1314,8
1337,407,8
1332,1315,8
1314,930,8
1314,915,8
1291,1265,8
1263,1240,8
1254,1097,8
1250,935,8
1246,592,8
1173,1106,8
1160,1146,8
1158,1052,8
1095,1056,8
1095,1045,8
1095,368,8
1095,364,8
1074,435,8
1073,1002,8
1056,1001,8
1056,382,8
1056,759,8
1056,1053,8
1056,1023,8
1053,368,8
1053,364,8
1046,391,8
1043,774,8
1043,309,8
1043,385,8
1038,793,8
1033,780,8
1031,1029,8
1031,354,8
1007,334,8
993,940,8
975,930,8
975,915,8
975,901,8
975,407,8
950,477,8
937,917,8
930,928,8
928,915,8
920,662,8
910,905,8
894,805,8
894,859,8
888,833,8
860,798,8
859,805,8
859,435,8
852,831,8
852,802,8
795,749,8
795,758,8
791,709,8
778,721,8
778,719,8
778,774,8
778,731,8
774,719,8
774,721,8
772,759,8
772,364,8
772,368,8
772,739,8
772,755,8
772,768,8
772,733,8
772,771,8
772,752,8
771,759,8
771,724,8
771,739,8
771,716,8
771,740,8
771,733,8
771,746,8
771,751,8
771,752,8
771,763,8
771,701,8
771,760,8
768,730,8
764,761,8
763,733,8
763,755,8
763,739,8
763,752,8
763,759,8
760,759,8
760,733,8
760,739,8
760,755,8
759,755,8
759,752,8
759,740,8
759,746,8
759,724,8
759,716,8
759,739,8
759,733,8
759,751,8
759,701,8
758,749,8
758,378,8
755,746,8
755,724,8
755,733,8
755,752,8
755,739,8
755,751,8
755,701,8
755,716,8
755,750,8
752,740,8
752,716,8
752,701,8
752,746,8
752,724,8
752,751,8
751,739,8
751,733,8
746,739,8
746,368,8
746,733,8
746,364,8
740,739,8
740,733,8
739,701,8
739,716,8
739,724,8
739,368,8
739,366,8
736,728,8
733,724,8
733,701,8
733,727,8
733,716,8
731,719,8
731,721,8
721,719,8
684,610,8
684,650,8
670,226,8
659,605,8
650,610,8
625,441,8
602,290,8
584,525,8
497,484,8
395,362,8
392,364,8
392,360,8
385,308,8
385,313,8
382,191,8
380,344,8
375,337,8
374,368,8
374,364,8
369,333,8
368,366,8
366,364,8
362,334,8
356,183,8
328,324,8
313,309,8
309,308,8
299,293,8
293,248,8
289,244,8
281,211,8
275,205,8
274,205,8
266,211,8
139,119,8
72,6,8
14087,14082,7
14087,14069,7
14082,14069,7
14060,14011,7
14018,14011,7
13900,3382,7
13894,13878,7
13872,13846,7
13862,13819,7
13848,13822,7
13819,9280,7
13781,5380,7
13753,11834,7
13731,3880,7
13669,13620,7
13668,7395,7
13657,7395,7
13638,13627,7
13637,12299,7
13637,1200,7
13637,3910,7
13636,1651,7
13620,8664,7
13620,11099,7
